iter	Passed	Remaining
889	39972	184591
890	40046	184683
891	40120	184768
892	40191	184846
893	40267	184942
894	40340	185024
895	40416	185124
896	40491	185215
897	40565	185299
898	40637	185378
899	40708	185449
900	40786	185555
901	40860	185639
902	40932	185717
903	41011	185823
904	41085	185907
905	41159	185990
906	41235	186084
907	41313	186185
908	41386	186263
909	41462	186353
910	41536	186437
911	41607	186502
912	41680	186580
913	41753	186655
914	41829	186747
915	41904	186831
916	41977	186907
917	42053	186995
918	42129	187082
919	42202	187160
920	42278	187247
921	42354	187335
922	42428	187413
923	42501	187483
924	42572	187550
925	42646	187625
926	42716	187684
927	42783	187730
928	42858	187813
929	42935	187902
930	43011	187985
931	43085	188059
932	43162	188145
933	43234	188213
934	43308	188285
935	43381	188356
936	43452	188415
937	43526	188491
938	43603	188577
939	43682	188669
940	43758	188751
941	43827	188803
942	43901	188874
943	43973	188937
944	44047	189008
945	44108	189022
946	44152	188964
947	44194	188897
948	44234	188824
949	44276	188757
950	44318	188693
951	44360	188624
952	44400	188552
953	44441	188479
954	44482	188411
955	44526	188351
956	44567	188282
957	44607	188206
958	44647	188134
959	44689	188068
960	44729	187995
961	44770	187922
962	44810	187849
963	44852	187786
964	44892	187710
965	44934	187645
966	44975	187574
967	45017	187510
968	45055	187427
969	45097	187365
970	45138	187293
971	45180	187229
972	45223	187169
973	45261	187087
974	45301	187013
975	45340	186937
976	45381	186868
977	45422	186797
978	45463	186728
979	45503	186658
980	45544	186589
981	45586	186522
982	45625	186448
983	45666	186379
984	45708	186313
985	45750	186251
986	45793	186191
987	45835	186125
988	45878	186064
989	45918	185993
990	45960	185929
991	46000	185855
992	46039	185781
993	46079	185710
994	46120	185640
995	46158	185561
996	46199	185494
997	46241	185431
998	46285	185374
999	46328	185314
1000	46369	185248
1001	46412	185188
1002	46456	185130
1003	46500	185076
1004	46542	185012
1005	46582	184942
1006	46623	184874
1007	46663	184802
1008	46708	184749
1009	46749	184682
1010	46789	184611
1011	46829	184543
1012	46872	184480
1013	46911	184409
1014	46954	184349
1015	46995	184281
1016	47037	184218
1017	47079	184155
1018	47093	183985
1019	47134	183918
1020	47173	183842
1021	47215	183781
1022	47257	183719
1023	47301	183661
1024	47342	183597
1025	47384	183534
1026	47426	183469
1027	47467	183406
1028	47508	183340
1029	47551	183281
1030	47592	183214
1031	47634	183152
1032	47676	183090
1033	47718	183027
1034	47761	182970
1035	47803	182906
1036	47844	182840
1037	47885	182775
1038	47926	182713
1039	47968	182650
1040	48009	182583
1041	48051	182523
1042	48093	182458
1043	48134	182393
1044	48173	182321
1045	48214	182257
1046	48256	182195
1047	48296	182127
1048	48338	182064
1049	48381	182007
1050	48421	181938
1051	48464	181879
1052	48507	181822
1053	48548	181757
1054	48588	181687
1055	48630	181627
1056	48671	181561
1057	48715	181508
1058	48755	181441
1059	48795	181370
1060	48836	181305
1061	48879	181248
1062	48921	181187
1063	48960	181115
1064	49001	181053
1065	49043	180990
1066	49083	180922
1067	49124	180859
1068	49166	180796
1069	49207	180734
1070	49249	180674
1071	49291	180612
1072	49329	180538
1073	49370	180472
1074	49411	180410
1075	49452	180346
1076	49490	180270
1077	49532	180209
1078	49573	180145
1079	49613	180079
1080	49656	180022
1081	49696	179955
1082	49738	179892
1083	49779	179829
1084	49820	179767
1085	49861	179703
1086	49902	179639
1087	49946	179586
1088	49988	179527
1089	50029	179464
1090	50072	179406
1091	50117	179357
1092	50160	179302
1093	50198	179228
1094	50239	179163
1095	50277	179090
1096	50320	179033
1097	50362	178976
1098	50405	178920
1099	50446	178856
1100	50491	178807
1101	50533	178747
1102	50575	178687
1103	50619	178634
1104	50659	178570
1105	50702	178513
1106	50745	178456
1107	50785	178392
1108	50826	178326
1109	50869	178271
1110	50909	178207
1111	50951	178146
1112	50989	178075
1113	51031	178016
1114	51072	177952
1115	51114	177892
1116	51156	177833
1117	51196	177767
1118	51237	177705
1119	51278	177643
1120	51318	177578
1121	51358	177512
1122	51399	177449
1123	51439	177384
1124	51481	177325
1125	51521	177260
1126	51562	177197
1127	51602	177132
1128	51643	177070
1129	51686	177014
1130	51728	176955
1131	51768	176891
1132	51806	176818
1133	51846	176754
1134	51888	176696
1135	51930	176637
1136	51972	176579
1137	52014	176519
1138	52056	176462
1139	52100	176409
1140	52143	176354
1141	52184	176293
1142	52221	176219
1143	52260	176149
1144	52302	176093
1145	52342	176028
1146	52383	175965
1147	52425	175907
1148	52465	175843
1149	52507	175785
1150	52546	175719
1151	52590	175665
1152	52630	175603
1153	52673	175549
1154	52714	175486
1155	52755	175425
1156	52794	175357
1157	52835	175298
1158	52876	175235
1159	52916	175173
1160	52958	175114
1161	52999	175052
1162	53038	174987
1163	53080	174927
1164	53123	174875
1165	53164	174813
1166	53204	174750
1167	53246	174693
1168	53288	174634
1169	53330	174578
1170	53372	174519
1171	53412	174456
1172	53453	174397
1173	53496	174340
1174	53536	174276
1175	53576	174214
1176	53617	174153
1177	53661	174104
1178	53703	174048
1179	53743	173983
1180	53784	173922
1181	53823	173856
1182	53863	173793
1183	53904	173733
1184	53943	173667
1185	53986	173612
1186	54029	173557
1187	54070	173497
1188	54109	173433
1189	54150	173371
1190	54192	173316
1191	54232	173253
1192	54273	173193
1193	54313	173130
1194	54354	173070
1195	54394	173007
1196	54434	172945
1197	54475	172883
1198	54516	172826
1199	54558	172767
1200	54598	172704
1201	54637	172640
1202	54676	172574
1203	54719	172519
1204	54760	172461
1205	54799	172395
1206	54842	172343
1207	54884	172285
1208	54924	172225
1209	54964	172162
1210	55006	172106
1211	55049	172051
1212	55089	171991
1213	55132	171936
1214	55172	171875
1215	55214	171818
1216	55257	171766
1217	55299	171710
1218	55340	171649
1219	55381	171591
1220	55422	171531
1221	55464	171476
1222	55506	171422
1223	55550	171370
1224	55590	171309
1225	55630	171248
1226	55670	171186
1227	55713	171133
1228	55758	171086
1229	55798	171025
1230	55840	170967
1231	55881	170909
1232	55923	170855
1233	55964	170794
1234	56005	170737
1235	56046	170678
1236	56087	170621
1237	56130	170567
1238	56172	170513
1239	56213	170453
1240	56254	170396
1241	56297	170342
1242	56337	170281
1243	56379	170225
1244	56420	170168
1245	56461	170109
1246	56501	170049
1247	56543	169993
1248	56584	169933
1249	56625	169876
1250	56667	169821
1251	56708	169762
1252	56749	169705
1253	56790	169647
1254	56834	169597
1255	56875	169538
1256	56917	169484
1257	56957	169425
1258	57000	169371
1259	57040	169310
1260	57082	169255
1261	57124	169201
1262	57165	169143
1263	57207	169087
1264	57246	169023
1265	57285	168961
1266	57327	168904
1267	57370	168853
1268	57412	168799
1269	57453	168741
1270	57493	168681
1271	57534	168623
1272	57577	168570
1273	57619	168516
1274	57659	168456
1275	57699	168396
1276	57741	168339
1277	57781	168279
1278	57822	168222
1279	57863	168165
1280	57903	168106
1281	57943	168046
1282	57987	167995
1283	58027	167934
1284	58067	167875
1285	58109	167821
1286	58151	167767
1287	58192	167709
1288	58232	167650
1289	58271	167586
1290	58313	167533
1291	58355	167477
1292	58396	167422
1293	58437	167364
1294	58477	167305
1295	58519	167249
1296	58560	167192
1297	58599	167131
1298	58641	167076
1299	58679	167011
1300	58720	166955
1301	58763	166902
1302	58804	166846
1303	58847	166794
1304	58888	166738
1305	58933	166691
1306	58975	166639
1307	59017	166584
1308	59058	166528
1309	59101	166477
1310	59144	166426
1311	59186	166370
1312	59226	166312
1313	59268	166257
1314	59310	166203
1315	59350	166144
1316	59390	166084
1317	59432	166032
1318	59478	165988
1319	59519	165933
1320	59560	165875
1321	59600	165816
1322	59642	165763
1323	59684	165708
1324	59725	165653
1325	59768	165602
1326	59809	165546
1327	59851	165492
1328	59893	165438
1329	59934	165383
1330	59974	165323
1331	60016	165269
1332	60059	165220
1333	60101	165167
1334	60143	165112
1335	60184	165057
1336	60225	165000
1337	60267	164948
1338	60308	164891
1339	60349	164835
1340	60389	164776
1341	60428	164716
1342	60470	164660
1343	60513	164612
1344	60554	164554
1345	60595	164500
1346	60636	164443
1347	60678	164389
1348	60721	164340
1349	60762	164283
1350	60802	164225
1351	60844	164173
1352	60886	164117
1353	60926	164059
1354	60968	164007
1355	61008	163948
1356	61051	163899
1357	61093	163845
1358	61136	163795
1359	61177	163738
1360	61218	163684
1361	61258	163627
1362	61301	163575
1363	61343	163522
1364	61385	163470
1365	61427	163417
1366	61470	163365
1367	61509	163307
1368	61550	163251
1369	61593	163199
1370	61634	163144
1371	61676	163091
1372	61717	163037
1373	61759	162983
1374	61799	162924
1375	61839	162867
1376	61880	162812
1377	61921	162758
1378	61964	162707
1379	62005	162652
1380	62047	162600
1381	62091	162553
1382	62133	162500
1383	62176	162450
1384	62219	162400
1385	62260	162344
1386	62301	162290
1387	62342	162234
1388	62387	162190
1389	62429	162138
1390	62471	162084
1391	62512	162030
1392	62554	161977
1393	62595	161922
1394	62638	161873
1395	62679	161817
1396	62720	161762
1397	62762	161708
1398	62805	161659
1399	62847	161608
1400	62890	161557
1401	62931	161503
1402	62971	161446
1403	63014	161395
1404	63056	161343
1405	63099	161294
1406	63142	161244
1407	63183	161190
1408	63222	161130
1409	63265	161080
1410	63307	161028
1411	63351	160979
1412	63391	160924
1413	63431	160867
1414	63472	160812
1415	63514	160759
1416	63555	160705
1417	63596	160651
1418	63636	160592
1419	63681	160548
1420	63721	160491
1421	63763	160440
1422	63808	160395
1423	63850	160344
1424	63892	160292
1425	63934	160238
1426	63976	160186
1427	64017	160133
1428	64056	160074
1429	64097	160018
1430	64139	159968
1431	64182	159917
1432	64224	159867
1433	64266	159813
1434	64305	159755
1435	64345	159699
1436	64388	159650
1437	64428	159592
1438	64469	159537
1439	64509	159481
1440	64550	159428
1441	64594	159380
1442	64635	159327
1443	64678	159276
1444	64719	159223
1445	64762	159174
1446	64804	159123
1447	64845	159067
1448	64888	159018
1449	64930	158968
1450	64971	158914
1451	65014	158863
1452	65054	158807
1453	65094	158750
1454	65135	158697
1455	65177	158646
1456	65218	158591
1457	65261	158542
1458	65302	158489
1459	65343	158435
1460	65387	158389
1461	65428	158334
1462	65468	158279
1463	65509	158225
1464	65552	158176
1465	65592	158119
1466	65632	158063
1467	65673	158009
1468	65716	157961
1469	65769	157937
1470	65843	157960
1471	65914	157980
1472	65994	158018
1473	66070	158049
1474	66144	158073
1475	66214	158090
1476	66284	158105
1477	66359	158132
1478	66433	158155
1479	66506	158178
1480	66574	158188
1481	66648	158211
1482	66723	158237
1483	66793	158252
1484	66868	158278
1485	66940	158295
1486	67013	158317
1487	67083	158331
1488	67159	158359
1489	67232	158380
1490	67309	158410
1491	67387	158441
1492	67456	158453
1493	67531	158477
1494	67604	158498
1495	67672	158506
1496	67746	158527
1497	67817	158543
1498	67892	158565
1499	67973	158604
1500	68044	158620
1501	68120	158646
1502	68194	158665
1503	68268	158687
1504	68339	158702
1505	68414	158725
1506	68492	158754
1507	68562	158767
1508	68634	158781
1509	68705	158797
1510	68775	158807
1511	68843	158812
1512	68917	158834
1513	68997	158866
1514	69068	158879
1515	69141	158896
1516	69212	158910
1517	69287	158931
1518	69361	158950
1519	69435	158970
1520	69513	158998
1521	69586	159015
1522	69660	159034
1523	69735	159056
1524	69808	159072
1525	69882	159090
1526	69953	159101
1527	70027	159120
1528	70103	159142
1529	70175	159155
1530	70244	159163
1531	70316	159175
1532	70387	159187
1533	70456	159192
1534	70527	159204
1535	70603	159226
1536	70675	159237
1537	70746	159248
1538	70822	159270
1539	70894	159281
1540	70965	159293
1541	71035	159300
1542	71111	159321
1543	71167	159297
1544	71208	159239
1545	71250	159184
1546	71290	159125
1547	71334	159072
1548	71377	159021
1549	71419	158966
1550	71461	158910
1551	71501	158851
1552	71542	158794
1553	71583	158736
1554	71627	158686
1555	71668	158629
1556	71710	158573
1557	71751	158517
1558	71792	158460
1559	71832	158399
1560	71874	158344
1561	71916	158289
1562	71957	158232
1563	71997	158174
1564	72038	158116
1565	72079	158058
1566	72122	158006
1567	72164	157951
1568	72205	157894
1569	72248	157842
1570	72289	157784
1571	72331	157731
1572	72372	157672
1573	72412	157614
1574	72454	157560
1575	72497	157506
1576	72536	157446
1577	72578	157390
1578	72618	157331
1579	72662	157281
1580	72699	157217
1581	72740	157159
1582	72780	157100
1583	72821	157043
1584	72862	156988
1585	72903	156930
1586	72945	156876
1587	72987	156820
1588	73029	156766
1589	73073	156717
1590	73116	156665
1591	73157	156608
1592	73199	156554
1593	73240	156498
1594	73279	156437
1595	73322	156384
1596	73362	156324
1597	73403	156269
1598	73444	156213
1599	73485	156157
1600	73528	156104
1601	73570	156050
1602	73611	155994
1603	73653	155940
1604	73693	155882
1605	73736	155830
1606	73776	155771
1607	73819	155717
1608	73861	155664
1609	73904	155612
1610	73947	155561
1611	73989	155506
1612	74030	155451
1613	74074	155399
1614	74114	155342
1615	74155	155286
1616	74196	155229
1617	74238	155175
1618	74277	155115
1619	74319	155061
1620	74360	155005
1621	74400	154948
1622	74441	154891
1623	74483	154838
1624	74523	154780
1625	74564	154724
1626	74607	154672
1627	74650	154620
1628	74690	154561
1629	74730	154504
1630	74775	154456
1631	74815	154398
1632	74857	154345
1633	74899	154290
1634	74941	154238
1635	74985	154187
1636	75025	154129
1637	75066	154074
1638	75107	154018
1639	75148	153963
1640	75191	153910
1641	75233	153857
1642	75274	153801
1643	75316	153747
1644	75357	153693
1645	75399	153639
1646	75441	153584
1647	75482	153529
1648	75524	153475
1649	75564	153418
1650	75604	153361
1651	75646	153307
1652	75688	153254
1653	75727	153194
1654	75767	153137
1655	75806	153077
1656	75850	153027
1657	75891	152972
1658	75932	152917
1659	75973	152861
1660	76014	152806
1661	76056	152752
1662	76098	152700
1663	76138	152643
1664	76180	152588
